objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,img008c.jpg,,Quaranzine banner image,Robert Perret,2020,Line drawing of Joe Vandal with motto Quaranzines Telling Our Handmade Stories,zines;university of idaho;quarantine,"Moscow, Idaho",46.725562,-117.009633,original drawing,,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,CoronaPoems.pdf,,Corona Poems,Ndaba Sibanda,2020,Poetry,poetry;quarantine,"Bulawayo, Zimbabwe",-20.1457,28.5873,docx,,Text,application/pdf,eng,,
coll003,dwan81.pdf,,Dwan81,Donny Smith,2020,Collection of poetry and images,poetry;quarantine,"Swathmore, Pennsylvania",39.9021,-75.3499,pdf,,Image;StillImage,application/pdf,eng,,
coll004,img007.jpg,,It is Quarantine Time,Shipley,2020,Hand drawn comic about life during quarantine,comic strip;drawing;quarantine,"Atlanta, Georgia",33.749,-84.388,original drawing,,Image;StillImage,image/jpeg,eng,,
coll005,ReportingTheRighttoKnow.pdf,,Reporting - The Right to Know,Michael J. Moore,2020,Poetry,poetry;quarantine,"Seattle, Washington",47.6062,-122.3321,docx,,Text,application/pdf,eng,,
coll006,uidaho062120.pdf,,The Second Round of the Pandemic,Yi-wen Huang,2020,Poetry,poetry;quarantine,"Gallup, New Mexico",35.5281,-108.7426,docx,,Text,application/pdf,eng,, 
coll007,AnnieZine.pdf,,Pandemic United,Annie Gaines,2020,"Eight page fold zine for Idaho Library Association Annual conference gone virtual, “United Separately 2020”",Zine;quarantine,"Boise, Idaho",43.60761,-116.1934,docx,,Text,application/pdf,eng,,
coll008,ZineLGelskey.pdf,,ICFL,LeAnn Gelsky,2020,Eight page fold zine from ILA 2020,Zine;quarantine,"Boise, Idaho",43.60761,-116.1934,docx,,Text,application/pdf,eng,,
